type,time,x,y
GROUND,1752846571.3702474,-0.3291428389660034,0.3483316734941011
GROUND,1752846571.3818603,-0.3291604208107479,0.3484228566356967
GROUND,1752846571.3940268,-0.32919533353097163,0.34852198831445413
GROUND,1752846571.4061944,-0.329130559491948,0.3483665799191932
GROUND,1752846571.4178061,-0.3291708671268889,0.3484411800857179
GROUND,1752846571.4299676,-0.3291847614225274,0.3484932849392469
GROUND,1752846571.44215,-0.3291709453558078,0.3485105716681369
GROUND,1752846571.4571671,-0.32915025547099575,0.3483563579463139
GROUND,1752846571.4687824,-0.3291836054363495,0.3484813680091292
GROUND,1752846571.480982,-0.32922781548488267,0.3486143818883902
GROUND,1752846571.493126,-0.3291864961533064,0.3484911576981581
GROUND,1752846571.505292,-0.3292046579368191,0.34854228531996656
GROUND,1752846571.516916,-0.32918903012226775,0.3484099635879645
GROUND,1752846571.5290883,-0.3291269220496251,0.3483110888780311
GROUND,1752846571.541257,-0.32913333422713187,0.3482680645906122
GROUND,1752846571.5528874,-0.3291992841359037,0.3484707142857507
GROUND,1752846571.56507,-0.3292164997215763,0.34854257565793134
GROUND,1752846571.577198,-0.32920116649493236,0.34853674878716767
GROUND,1752846571.5888386,-0.3292077651389391,0.34850017918146015
GROUND,1752846571.601074,-0.32920609751568186,0.34849884802649056
GROUND,1752846571.6132839,-0.32915704450919625,0.3483254576225753
GROUND,1752846571.624892,-0.3292240934386381,0.3485126608233746
GROUND,1752846571.6370916,-0.32920051689699026,0.34847964541005194
GROUND,1752846571.6492546,-0.32916326500218807,0.3483725780229652
GROUND,1752846571.6608646,-0.3291819190268819,0.3484557690526163
GROUND,1752846571.6730332,-0.32920817094906907,0.34853047100474877
GROUND,1752846571.6851926,-0.32918588614435196,0.34841515809447554
GROUND,1752846571.6968083,-0.32918091494825275,0.34849976639420854
GROUND,1752846571.709096,-0.32917985309304454,0.3483513258962151
GROUND,1752846571.7212672,-0.3291821194602229,0.34841402025230506
GROUND,1752846571.7328918,-0.32917880182749437,0.3484056135179381
GROUND,1752846571.7450795,-0.3291879387464758,0.348429485209914
GROUND,1752846571.7572825,-0.32923549869820157,0.3485096397493198
